year,postal_code,elevation,forest,urban,other,years_till_next_fire
1997,94601,42,0,0.959075986549171,0.0409240134508287,
1997,94501,42,0,0.66290070863731,0.337099291362689,
1997,94560,42,0,0.560077317044902,0.439922682955097,
1997,94587,42,0.218152457424364,0.430262281540573,0.351585261035061,
1997,94580,42,0,0.868217054263566,0.131782945736433,
1997,94514,23,0,0.0287318598164094,0.97126814018359,1
1997,94703,42,0,0.948041089345437,0.0519589106545625,
1997,95601,1975,0.125,0.0138888888888888,0.861111111111111,
1997,95669,1975,0.25987435741775,0.00583168263490043,0.734293959947349,4
1997,95901,63,0.0608741969629892,0.0256823964383153,0.913443406598695,1
1997,95974,174,0,0.021505376344086,0.978494623655914,
1997,95914,174,0.683617021276595,0.00191489361702127,0.314468085106383,10
1997,95246,133,0.514945412302134,0.00118422455649316,0.483870363141372,4
1997,95979,61,0.178307506458527,0.00187514404373252,0.81981734949774,4
1997,94549,23,0.336890243902439,0.179878048780487,0.483231707317073,
1997,94595,23,0.177419354838709,0.397849462365591,0.424731182795699,
1997,94506,23,0.137148200981414,0.146723905508429,0.716127893510155,
1997,94806,23,0.0238905623542512,0.692434927047005,0.283674510598743,
1997,94801,23,0.007194674905365,0.551278880782338,0.441526444312296,
1997,94803,23,0.29917298440595,0.286971053832485,0.413855961761564,
1997,94553,23,0.203146781740852,0.225440925329047,0.5714122929301,5
1997,94530,23,0.170763260025873,0.58313065976714,0.246106080206986,
1997,94572,23,0.00543260032595601,0.396083803765028,0.598483595909015,
1997,95567,44,0.677432309332096,0.0127491647513147,0.309818525916588,5
1997,93608,296,0,0.0263486683407761,0.973651331659223,8
1997,93612,296,0,0.74311446918817,0.256885530811829,
1997,93630,296,0,0.0364514288616808,0.963548571138319,
1997,93606,296,0,0.284090909090909,0.71590909090909,
1997,93646,296,0.00224714965478058,0.0291958884960413,0.968556961849178,4
1997,93664,296,0.780329082358348,0.000833446739172714,0.218837470902478,4
1997,93703,296,0,0.938650306748466,0.0613496932515336,
1997,93234,296,0,0.0437352245862884,0.956264775413711,
1997,93616,296,0,0.0327711640527818,0.967228835947218,
1997,95503,44,0.724885570081605,0.0464792880367219,0.228635141881672,
1997,95554,44,0.798587748041989,0.00123441644836208,0.200177835509648,6
1997,95560,44,0.77871170730559,0.00560218228800238,0.215686110406406,
1997,95524,44,0.569389878498774,0.0504568377842088,0.380153283717016,
1997,92243,41,0.00233156628375488,0.135349566506294,0.86231886720995,
1997,93526,3910,0.127700428409684,0.00617139616849776,0.866128175421817,0
